부록 3.건폐율 용적률 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
(단위 : %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도시명,전용주거지역,,,,일반주거지역,,,,,,준주거지역,,상업지역,,,,,,,,공업지역,,,,,,녹지지역,,,,,,관리지역,,,,,,농림지역,,자연환경보전지역,
,제1종 전용주거,,제2종 전용주거,,제1종 일반주거,,제2종 일반주거,,제3종 일반주거,,,,중심상업,,일반상업,,근린상업,,유통상업,,전용공업,,일반공업,,준공업,,보전녹지,,생산녹지,,자연녹지,,보전관리,,생산관리,,계획관리,,,,,
, 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 
고성군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
남해군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
하동군,50,100,50,150,60,200,60,250,50,300,70,400,90,800,80,800,70,600,80,600,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
산청군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
함양군,50,80,50,120,60,200,60,250,50,300,70,500,90,1000,80,800,70,600,80,600,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
거창군,40,80,40,120,60,200,60,250,50,300,70,400,90,1000,80,800,70,600,80,600,70,250,70,300,70,350,20,50,20,80,20,80,20,80,20,80,40,100,20,80,20,80
합천군,50,100,50,150,60,200,60,250,50,300,70,500,80,900,80,800,70,600,80,700,70,300,70,350,70,400,20,60,20,80,20,100,20,80,20,80,40,100,20,80,20,80
제주특별자치도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주시,40,80,40,120,60,200,60,250,50,300,60,500,80,1300,80,1000,60,700,70,700,60,200,60,300,60,300,20,60,20,60,20,80,20,60,20,60,40,80,20,50,20,50
서귀포시,40,80,40,120,60,200,60,250,50,300,60,500,80,1300,80,1000,60,700,70,700,60,200,60,300,60,300,20,60,20,60,20,80,20,60,20,60,40,80,20,50,20,50
