부록 3.건폐율 용적률 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
(단위 : %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도시명,전용주거지역,,,,일반주거지역,,,,,,준주거지역,,상업지역,,,,,,,,공업지역,,,,,,녹지지역,,,,,,관리지역,,,,,,농림지역,,자연환경보전지역,
,제1종 전용주거,,제2종 전용주거,,제1종 일반주거,,제2종 일반주거,,제3종 일반주거,,,,중심상업,,일반상업,,근린상업,,유통상업,,전용공업,,일반공업,,준공업,,보전녹지,,생산녹지,,자연녹지,,보전관리,,생산관리,,계획관리,,,,,
, 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 
서산시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
논산시,50,100,50,150,60,200,60,250,50,300,70,400,90,1300,80,1100,70,700,80,900,70,300,70,350,70,400,20,80,20,80,20,100,20,80,20,80,40,100,20,80,20,80
계룡시,40,100,40,150,60,200,60,250,50,300,60,400,70,1300,60,1100,60,700,60,900,70,300,70,350,70,400,20,80,20,80,20,80,0,0,0,0,0,0,0,0,20,80
당진시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,60
금산군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
부여군,50,80,50,120,60,150,60,250,50,250,70,300,90,800,80,700,70,600,80,500,70,300,70,350,70,400,20,80,20,80,20,100,20,80,20,80,40,100,20,80,20,60
청양군,50,80,50,150,60,150,60,250,50,250,70,400,90,700,80,1000,70,400,80,400,70,200,70,250,70,250,20,50,20,100,20,80,20,80,20,80,40,100,20,80,20,80
예산군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,90,20,100,20,80,20,80,40,100,20,80,20,70
태안군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
서천군,50,80,50,120,60,150,60,250,50,300,70,350,90,800,80,1000,70,400,80,400,70,300,70,350,70,400,20,80,20,80,20,100,20,80,20,80,40,100,20,80,20,60
홍성군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
전북특별자치도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전주시,40,100,40,100,60,200,60,250,50,300,60,500,80,1100,70,900,60,700,60,700,60,300,60,350,60,400,20,50,20,100,20,100,20,50,20,80,40,100,20,80,20,80
군산시,50,100,50,150,60,200,60,250,50,300,70,400,90,1200,80,1000,70,700,80,800,70,250,70,350,60,300,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
익산시,50,80,50,150,60,200,60,250,50,300,70,350,80,1000,80,800,70,600,70,700,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,50
정읍시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
남원시,50,100,50,150,60,200,60,250,50,300,70,500,90,1300,80,1000,70,700,80,800,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
김제시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
완주군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
진안군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
무주군,50,100,50,150,60,200,60,250,50,300,70,400,80,1000,80,800,70,700,80,700,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
장수군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
임실군,0,0,0,0,60,200,60,250,0,0,70,400,0,0,80,800,0,0,0,0,0,0,70,300,0,0,20,80,20,80,20,80,20,80,20,80,40,100,20,80,20,80
순창군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
고창군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
부안군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
전라남도 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
목포시,50,100,50,150,60,200,60,250,50,300,70,500,90,1300,70,1100,70,700,80,900,70,300,70,350,70,400,20,80,20,100,20,100,0,0,0,0,0,0,0,0,0,0
여수시,50,100,50,150,60,200,60,250,50,300,70,500,90,1300,80,1000,70,700,80,1000,70,200,70,250,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
순천시,50,100,50,150,60,200,60,250,50,300,70,500,90,900,80,800,70,600,80,500,70,300,70,350,70,400,20,80,20,100,20,100,20,50,20,80,40,100,20,80,20,50
나주시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
광양시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
담양군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,60,20,100,20,100,20,80,20,80,40,100,20,80,20,80
곡성군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
고흥군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
화순군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
해남군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
영암군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
함평군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
장성군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,250,70,300,70,350,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
완도군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
진도군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,250,70,300,70,350,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
구례군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
보성군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
장흥군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
강진군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
무안군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
영광군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
신안군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
경상북도 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포항시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
경주시,40,80,50,130,60,200,60,250,50,300,70,400,90,1200,80,1000,70,600,80,700,70,250,70,350,70,300,20,60,20,60,20,100,20,60,20,60,40,100,20,60,20,60
김천시,30,80,40,120,60,200,60,250,50,300,70,500,90,1300,80,1300,70,700,70,700,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
